latitude,longitude,polarity
53.474311,-2.25166,0.0
53.474628,-2.253762,0.0
53.474454,-2.258956,0.0
53.47521,-2.257143,0.0
53.47458,-2.255802,0.10833333333333334
53.474263,-2.256537,0.0
53.474284,-2.250931,0.0
53.474437,-2.257143,0.0
53.477891,-2.249075,0.6
53.474689,-2.250223,0.0
53.474165,-2.259106,0.0
53.474165,-2.259106,0.0
53.474165,-2.259106,0.0
53.474165,-2.259106,0.0
53.474165,-2.259106,0.0
53.474165,-2.259106,0.0
53.475312,-2.256853,0.11818181818181818
53.475203,-2.257025,0.11818181818181818
53.474747,-2.25769,0.0
53.475397,-2.256892,0.25876190476190475
53.475613,-2.256739,0.12456709956709956
53.473802,-2.254598,0.1425
53.474147,-2.256531,0.03125
53.474505,-2.257889,0.0
53.474763,-2.256714,0.16666666666666666
53.473633,-2.255073,0.09764069264069263
53.473802,-2.254598,-0.06666666666666667
53.473802,-2.254598,0.028124999999999997
53.474522,-2.252081,0.14500000000000002
53.474311,-2.25335,0.0655988455988456
53.474311,-2.25335,0.09999999999999999
53.473686,-2.256102,0.2
53.47495,-2.254729,0.3
53.473916,-2.25357,0.0
53.476655,-2.253881,0.0
53.476521,-2.253484,0.0
53.474404,-2.251135,0.0
53.474452,-2.25828,0.0
53.476227,-2.24915,0.0
53.47829,-2.249032,0.8
53.47705,-2.249395,0.0
53.476816,-2.249414,0.0
53.476816,-2.249414,0.0
53.476816,-2.249414,0.0
53.476816,-2.249414,0.0
53.476816,-2.249414,0.0
53.477136,-2.250048,0.0
53.477205,-2.249184,0.0
53.477205,-2.249184,0.0
53.477205,-2.249184,0.0
53.477205,-2.249184,0.0
53.477205,-2.249184,0.0
53.477205,-2.249184,0.0
53.477205,-2.249184,0.0
53.477205,-2.249184,0.0
53.477205,-2.249184,0.0
53.477205,-2.249184,-0.2
53.477205,-2.249184,-0.2
53.477261,-2.249037,0.0
53.477261,-2.249037,0.0
53.477261,-2.249037,0.0
53.477261,-2.249037,-0.2
53.477261,-2.249037,0.0
53.477261,-2.249037,0.0
53.477261,-2.249037,0.0
53.477261,-2.249037,0.0
53.477261,-2.249037,0.0
53.477261,-2.249037,0.0
53.477261,-2.249037,0.0
53.477261,-2.249037,0.0
53.477261,-2.249037,0.0
53.477261,-2.249037,0.0
53.477261,-2.249037,0.0
53.477261,-2.249037,0.0
53.477261,-2.249037,0.0
53.477261,-2.249037,0.0
53.477261,-2.249037,0.0
53.477261,-2.249037,0.0
53.477261,-2.249037,0.0
53.477261,-2.249037,0.0
53.477261,-2.249037,0.0
53.477261,-2.249037,0.0
53.477261,-2.249037,0.0
53.477261,-2.249037,0.0
53.477261,-2.249037,0.0
53.477261,-2.249037,0.6
53.477261,-2.249037,0.0
53.477261,-2.249037,0.0
53.477261,-2.249037,0.0
53.477261,-2.249037,0.0
53.477261,-2.249037,0.0
53.477261,-2.249037,0.0
53.477261,-2.249037,0.0
53.477261,-2.249037,0.0
53.477261,-2.249037,0.0
53.476744,-2.249203,0.0
53.476744,-2.249203,-0.05
53.476744,-2.249203,0.21428571428571427
53.476744,-2.249203,-0.25
53.476744,-2.249203,0.0
53.476744,-2.249203,0.0
53.476744,-2.249203,-0.017857142857142863
53.476744,-2.249203,0.0
53.476744,-2.249203,0.0
53.476744,-2.249203,0.0
53.476744,-2.249203,0.0
53.476744,-2.249203,0.0
