latitude,longitude
53.469641,-2.218641
53.469641,-2.218641
53.469641,-2.218641
53.469641,-2.218641
53.469641,-2.218641
53.469641,-2.218641
53.469641,-2.218641
53.469641,-2.218641
53.468044,-2.209629
53.468044,-2.209629
53.468044,-2.209629
53.468044,-2.209629
53.468044,-2.209629
53.469501,-2.20611
53.469501,-2.20611
53.469501,-2.20611
53.469501,-2.20611
53.483529,-2.224026
53.475199,-2.234237
53.474574,-2.237166
53.472811,-2.289609
53.477434,-2.254986
53.476598,-2.245298
53.484146,-2.22737
53.474778,-2.25799
53.475953,-2.22825
53.475953,-2.22825
53.475953,-2.22825
53.475953,-2.22825
